FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received,avg val received,min val sent,max val sent,avg val sent,total ether balance,ERC20 total Ether sent contract,ERC20 min val rec
0,14106.66,3742.82,540061.9,0,11,21,0.0,1499.9995800000004,77.125266,0.0,1100.0,102.312148,-1422.982347,0.0,0.0
0,757.91,11.08,25802.32,1,3,13,0.091844,1.0,0.530615,0.0,0.933444,0.044268,0.086741405,0.0,0.0
0,3.13,4923.24,280803.43,0,2,2,0.016037,0.277689,0.204013,0.015617,0.277269,0.203593,0.023940002,0.0,0.0
0,27681.45,11171.03,842599.05,0,6,15,0.09,34.94,16.564688,0.0,34.9,9.896423,-75.09543387,0.0,0.0
0,770.29,3.82,2318.5,0,1,3,7.772,19.995,13.8835,3.7,20.082772,9.255226,0.001323,0.0,0.0
0,163.78,1.11,329.78,0,2,2,44.048882,56.95111800000001,50.5,0.61,100.388974,50.499487,0.001026218,0.0,0.0
0,0.0,6324.45,113840.02,1,5,0,0.0,12.782766,5.662421,0.0,0.0,0.0,101.9235724,0.0,2.0
0,725.77,41108.66,292841.02,0,4,3,0.0,17.949074,8.407243,2.0,30.950276,22.441764000000006,-98.24164672,0.0,0.0
0,91.14,64.3,712.88,0,4,5,0.5,5.0,2.1875,0.377203,2.851287,1.749551,0.002245057,0.0,0.0
0,2477.34,6928.28,892782.2,0,1,2,0.013556,0.501254,0.342666,0.1,2.0,1.2625,33.07587621,0.0,0.0
0,0.0,13339.9,226778.27,1,6,0,0.0,11.291416,4.860215,0.0,0.0,0.0,82.62366163,0.0,0.920501
0,0.0,0.0,30.65,0,1,1,4.999,4.999,4.999,4.99774,4.99774,4.99774,0.00126,0.0,0.0
0,1797.42,60933.08,330187.83,0,3,7,0.0,30.0,11.666667,0.0,30.0,0.760256,-27.341,0.0,0.0
0,0.0,0.0,68.87,0,1,1,0.5476489999999999,0.5476489999999999,0.5476489999999999,0.546389,0.546389,0.546389,0.00126,0.0,0.0
0,155.22,112602.93,338429.65,0,3,3,0.0,2.337156,1.512385,2.0,2.379635,2.104909,-3.882478376,0.0,0.0
0,14626.26,6594.93,955278.0,0,7,34,0.00979,1100.0,167.979641,0.0,500.0,43.052269,-188.368881,0.0,0.0
0,0.0,5498.63,291427.53,1,4,0,0.0,1.002204,0.504895,0.0,0.0,0.0,26.75944516,0.0,0.10587
0,3.33,51068.75,561789.58,0,8,1,0.022663,20.799,5.11114,0.923126,20.797915,5.621492,0.00761642,0.0,0.0
0,1128.56,0.0,2257.12,0,1,2,1.7479810000000002,1.7479810000000002,1.7479810000000002,0.0,0.0,0.0,1.74798122,0.0,0.0
0,2152.95,680.22,22889.93,0,1,6,0.05,0.1,0.075,0.0,0.060734,0.011073,0.039265736,0.0,0.0
0,0.0,648.26,449889.15,1,4,0,0.0,22.0,1.618731,0.0,0.0,0.0,1123.399095,0.0,0.082576
0,45.91,58.88,450106.65,0,1337,2212,0.0,3140.99958,74.622817,0.0,3900.0,37.84572100000001,-2891.354427,0.0,0.0
0,0.0,0.0,4.87,0,1,1,0.003,0.003,0.003,0.0,0.0,0.0,0.003,0.0,0.0
0,1067.84,128.81,636162.82,0,1,4,0.443993,3.602495,1.055731,0.0,520.8121679999998,67.923395,0.03299662,0.0,0.0
0,1051.87,85496.6,345142.02,0,2,3,0.0,3.508474,1.395953,0.0069999999999999,5.544,3.683667,-5.467189299999999,0.0,0.0
0,2.12,0.92,21206.93,3,3,2,1.0,20.0,11.0,0.0,0.0,0.0,44.0,0.0,0.0
0,17441.04,1245.91,160707.1,0,2,4,1.0,49.995,18.996667,0.0,20.0,6.226376,0.952613114,0.0,0.0
0,45561.42,26284.49,802574.4,0,7,5,0.0,45.4,21.925,0.0,99.0,20.32769200000001,-88.86,0.0,1.0
0,379.78,56424.63,339687.12,0,6,1,0.0,1.515068,0.888941,4.5,4.5,4.5,-8.166350999999999,0.0,0.0
0,1478.05,51541.26,355017.02,0,3,11,0.0,51.0,9.803306,0.0,20.0,2.307983,-17.34361821,0.0,1e-06
0,164.22,0.0,328.45,0,1,2,101.0,101.0,101.0,1.335323,99.663651,50.499487,0.001026218,0.0,0.0
0,1790.44,450.56,13445.97,0,5,2,0.2,10.0,2.615514,0.199528,9.999545,2.614933,0.003489099,0.0,0.0
0,803.95,112925.21,340383.53,0,2,2,0.0,6.995,2.333333,6.955496000000001,6.956,6.955748,-6.9114960000000005,0.0,0.0
0,18649.44,15420.31,266825.07,0,3,6,0.195,4.0,1.67375,0.0,1.9,0.759219,-1.6564050330000002,0.0,0.0
0,65.85,32.24,204236.48,0,1471,1205,0.0,799.99874,18.736369,0.0,1100.0,15.276167,-10.64504551,0.0,1.0
0,181.7,56819.72,286279.03,0,5,7,0.0,174.995,63.085,0.1,225.0,59.51666700000001,-398.775,0.0,0.0
0,23359.72,27049.27,1169229.5,0,6,23,0.0,972.434,182.498725,0.0,500.0,85.766674,-629.3501786,0.0,0.0
0,20827.93,0.0,186707.1,0,1,2,10.0,10.0,10.0,1.621938,26.0,12.688992,-91.51193767,0.0,0.031819
0,4183.18,1470.01,962956.75,0,57,103,0.0731,117.7,4.007761,0.0,240.0,3.288313,-34.0981,0.0,0.0
0,1969.46,288.59,97419.95,0,4,13,0.09,99.99,25.810391,0.0,100.0,6.758479,-66.3030896,0.0,0.0
0,76.32,74.96,754216.92,2,4848,1129,3.8e-05,12867.39971,21.959042,0.0,9000.0,43.26697,-3743.443847,0.0,0.0
0,26.01,82.8,652.87,0,5,1,0.77,1.3,1.047658,0.769559,1.299528,1.047197,0.002762225,0.0,0.0
0,8174.66,3.43,24534.25,0,1,1,0.001,0.34,0.147,0.01,0.379654,0.146551,0.0013463879999999,0.0,0.0
0,628.48,672.28,4486.98,0,2,4,0.740937,6.12616,3.433549,0.0,5.0,1.3723459999999998,0.00536902,0.0,0.0
0,0.0,0.0,2.5,0,1,1,0.8548709999999999,0.8548709999999999,0.8548709999999999,0.8538209999999999,0.8538209999999999,0.8538209999999999,0.00105,0.0,0.0
0,0.0,0.0,8873.97,0,1,1,0.134989,0.134989,0.134989,0.134569,0.134569,0.134569,0.00042,0.0,0.0
0,22.94,14237.49,242427.3,0,1,1,0.017319,0.125315,0.050856,0.002319,0.121958,0.047446,0.05797088,0.0,0.0
0,7750.02,59605.36,531093.05,0,2,5,0.545459,27.48646,6.1445940000000006,0.0,5.693,1.013286,42.06374870000001,0.0,0.0
0,621.07,5012.75,93911.63,4,9,10,0.5,379.0,39.759632,0.0,330.62347,48.273105,0.090278633,0.0,0.0
0,13243.1,38530.77,414518.23,0,5,6,0.0,1.169147,0.270796,0.0,1.716638,0.421015,-1.622766947,0.0,0.0
0,5815.7,845.41,1040169.4,0,1,30,0.20001,2.1578880000000003,0.24501,5.0508510000000015,13.321637,6.696126,50.00667943,0.0,0.0
0,1905.13,728.9,240610.1,0,4,8,0.5,69.995,12.769696,0.0,74.0,0.647486,-3.670073533,0.0,0.0
0,24.63,3319.39,10032.05,0,3,1,0.04,10.805,5.281667,0.038953,10.80458,5.281031,0.001907957,0.0,0.0
0,59.56,24076.63,120621.38,0,2,2,0.001,0.669937,0.173506,0.00074,0.668866,0.21567,0.0048509999999999,0.0,0.0
0,0.0,0.0,28803.42,0,1,1,12.0,12.0,12.0,11.999559,11.999559,11.999559,0.000441,0.0,0.0
0,56814.86,62086.18,294616.95,0,2,3,0.0,20.0,10.0,4.952493,19.953375,13.301956,-19.90586873,0.0,1.503014
0,2.23,0.0,8.92,0,2,4,103.561873,1897.438127,1000.5,0.001078,1501.447643,500.249528,0.001886545,0.0,0.0
0,52.48,287.13,9299.17,0,13,1,1.761724,2.1609830000000003,2.036327,1.761261,6.328314,2.375185,0.012708609,0.0,0.0
0,1466.39,44699.56,321695.25,0,5,2,0.0,23.601366,10.936062,0.0,49.999365,15.753561,-17.96892874,0.0,2000.0
0,25905.07,1129.25,161076.67,0,1,2,0.099,27.517666,13.701916,0.002079,27.516406,11.41756,0.004221,0.0,0.0
0,3834.85,2945.2,620113.1,0,18,63,0.0,44.425356,7.878402,0.0,52.0,3.5717830000000004,-14.6304328,0.0,0.0
0,3880.52,1645.59,101238.1,0,5,12,0.99,8.995,4.114642,0.0,8.0,2.350007,0.025560232,0.0,0.0
0,21466.84,20051.27,674198.88,0,5,11,0.0,20.095,6.755565,0.0,19.0,4.835781,-50.42288815,0.0,0.0
0,1904.23,4621.92,72065.0,0,9,11,0.01,10.0,1.9476830000000005,0.0,7.0,1.118571,-0.367999256,0.0,0.0
0,248.61,17068.13,611682.27,0,9,72,0.0,600.98832,72.622476,0.0,500.0,1.206055,-14.37230628,0.0,0.0
0,10154.24,5026.86,1009090.55,0,10,41,0.0,40.136798,10.501527,0.0,48.0,3.933071,-79.63904036,0.0,0.0
0,674.61,221.0,11677.73,0,2,10,0.01,250.5,63.3775,0.0,250.0,15.825,0.31,0.0,0.0
0,3517.86,7188.55,381840.42,0,11,22,0.0,790.9994370000002,110.350012,0.0,1060.0,100.90074,-1633.635915,0.0,0.0
0,20.41,0.0,102.07,0,1,4,101.0,101.0,101.0,0.2,69.15464200000001,20.199496,0.00252,0.0,0.0
0,0.0,8831.65,291444.58,1,5,0,0.0,23.462797,1.402192,0.0,0.0,0.0,46.27232361,0.0,0.527787
0,244.78,169.09,16284.15,0,3,4,0.009559,0.405838,0.121569,0.0,0.3,0.010066,0.35855313,0.0,0.0
0,0.0,0.0,169.87,0,1,1,0.4494770000000001,0.4494770000000001,0.4494770000000001,0.447277,0.447277,0.447277,0.0022,0.0,0.0
0,0.0,0.0,2250.73,0,1,1,0.86761,0.86761,0.86761,0.8669899999999999,0.8669899999999999,0.8669899999999999,0.00062,0.0,0.0
0,408.32,170321.78,341868.53,0,2,2,0.0,0.46,0.23,0.041,0.4,0.280059,-0.380176274,0.0,0.0
0,5801.32,3041.25,614761.98,0,10,24,0.060587,200.0,18.64848,0.0,100.0,8.995439,-18.67313494,0.0,0.0
0,3.6,0.0,10.8,0,2,3,437.787303,1563.2126970000004,1000.5,8.511289999999999,1516.455268,666.999528,0.001414909,0.0,0.0
0,0.0,0.0,7.53,0,1,1,1.0,1.0,1.0,0.996747,0.996747,0.996747,0.00325311,0.0,0.0
0,13.67,40512.33,688942.0,0,5,3,0.01,69.995,12.28744,0.009515,69.994563,12.28679,0.011052491,0.0,0.0
0,193.0,0.0,772.02,0,1,2,0.39,0.39,0.39,0.0,0.389496,0.099442,-0.00776788,0.0,0.0
0,20981.23,121771.36,596107.57,0,3,6,0.02,20.173085,10.397695,0.0,20.133179,2.833016,0.029906,0.0,0.9
0,129.61,26178.65,288353.97,0,5,2,0.0,249.812075,32.977228000000004,10.0,359.0,240.576616,-358.9803421000001,0.0,0.0
0,0.0,0.0,31.28,0,1,1,0.732876,0.732876,0.732876,0.7316159999999999,0.7316159999999999,0.7316159999999999,0.00126,0.0,0.0
0,5.88,0.42,18.47,0,2,3,560.184406,1440.815594,1000.5,0.6064,1478.589443,666.999528,0.001414909,0.0,0.0
0,21.65,0.0,64.95,0,1,3,101.0,101.0,101.0,1.093799,72.122019,33.666149,0.0015539999999999,0.0,0.0
0,31239.32,984.92,251884.43,0,2,4,1.0,2.0,1.5,0.0,2.0,0.34,0.28,0.0,0.0
0,997.32,84555.41,342210.95,0,3,3,0.0,2.995,1.31125,2.2,2.983505,2.591529,-5.121116224,0.0,0.0
0,9.02,12.37,952.85,0,8,52,0.0,49.99952800000001,3.4551580000000004,0.0,44.770872,1.990643,0.027399237,0.0,0.0
0,3.62,0.0,10.87,0,2,3,437.511331,1563.4886689999996,1000.5,2.000775,1948.785673,666.999528,0.001414909,0.0,0.0
0,15.48,0.0,46.45,0,1,3,101.0,101.0,101.0,9.999496,64.618386,33.666149,0.0015539999999999,0.0,0.0
0,63819.21,336.67,511227.0,0,2,5,0.006845,1.595,0.800922,1e-05,1.5,0.458381,-2.065204501,0.0,0.0
0,161.67,0.04,323.42,0,2,2,24.612212,76.387788,50.5,2.4845,98.514516,50.499508,0.000984218,0.0,0.0
0,5.05,0.0,20.18,0,2,3,497.549392,1503.450608,1000.5,1.0,1423.0022720000004,500.249528,0.001886545,0.0,0.0
0,157.32,0.0,314.65,0,1,2,101.0,101.0,101.0,1.041843,99.957172,50.499508,0.000984218,0.0,0.0
0,36.98,0.0,73.97,0,1,2,30.0,30.0,30.0,10.673034,19.325958,14.999496,0.001008,0.0,0.0
0,3.21,0.38,10.38,0,2,3,908.853504,1092.146496,1000.5,0.100592,1366.387436,666.999528,0.001414909,0.0,0.0
0,108.58,0.82,327.37,0,2,3,46.981604,54.018396,50.5,4.0,66.74956999999999,33.666165,0.001506437,0.0,0.0
0,0.0,2336.51,228977.53,1,3,0,0.0,1.169411,0.9501,0.0,0.0,0.0,93.10979582,0.0,2.01066
0,26.4,620.61,138977.15,0,5,2,0.261456,820.0,314.639235,24.49958,8557.988572,418.874903,0.104811001,0.0,600.0
0,3500.97,14465.72,816620.55,0,1,4,0.01,1.001431,0.46172,0.27,6.0,2.128333,12.62458564,0.0,0.0
0,2809.83,3186.72,376480.78,0,12,32,0.0,49.477281,8.303953,0.0,222.627319,9.990969,-23.1113442,0.0,0.0
0,19121.43,11.04,267722.13,0,1,9,0.8971,6.6012,3.74915,0.002749,1.999359,0.677948,-1.99296836,0.0,0.0
0,1396.24,1470.58,1150335.93,0,8,132,0.009918,1.00563,0.316584,0.0005,6.6,0.8604860000000001,0.335129226,0.0,0.0
0,30200.21,109066.9,617468.87,0,4,5,0.01129,21.32,5.418029,0.001619,20.893115,3.611791,0.00137294,0.0,0.0
0,0.0,1426.21,226766.85,1,5,0,0.0,1.021547,0.91998,0.0,0.0,0.0,146.2768721,0.0,1.059583
0,0.0,0.0,10.93,0,1,1,2.75,2.75,2.75,2.74938,2.74938,2.74938,0.00062,0.0,0.0
0,24.47,0.0,73.42,0,2,3,29.231127,71.768873,50.5,2.0,75.450249,33.666159,0.001523001,0.0,0.0
0,1449.95,556.53,520700.2,0,4,3,0.002178,4.504509,0.696882,0.0,6.102257,1.597554,0.101450356,0.0,0.0
0,5.13,3733.57,127115.7,0,1,34,0.103256,1.000945,0.385352,0.102815,1.000504,0.384883,0.015961896,0.0,0.0
0,0.0,27224.25,353915.25,1,5,0,0.452055,3.80983,1.33857,0.0,0.0,0.0,17.40140661,0.0,0.0
0,24.86,0.23,75.03,0,2,3,39.560242,61.439758,50.5,5.836762,53.027954,33.666163,0.001512,0.0,0.0
0,20.87,0.0,62.6,0,1,3,101.0,101.0,101.0,1.202016,97.337759,33.666149,0.0015539999999999,0.0,0.0
0,6.0,37680.11,301482.83,0,4,1,0.11,58.75344499999999,9.842931,0.129412,58.75575300000001,11.24715,0.01339322,0.0,0.0
0,155.16,0.0,310.32,0,1,2,101.0,101.0,101.0,0.2,100.799016,50.499508,0.000984218,0.0,0.0
0,13.6,0.0,40.8,0,1,3,101.0,101.0,101.0,0.05,54.580682,33.666149,0.0015539999999999,0.0,0.0
0,364.17,230.02,376485.87,0,554,170,0.019415,49.749538,1.220148,0.006532,18.230356,0.995851,0.45179059,0.0,7.566597
0,1.97,1332.65,2669.23,0,2,1,53.995,538.205,296.1,53.994443,538.204468,296.0994560000001,0.001088977,0.0,0.0
0,8197.19,3055.47,946931.97,0,18,40,0.0,153.99,20.405141,0.0,200.0,11.861401,-203.3756139,0.0,0.0
0,0.0,0.0,13.88,0,1,1,4.995,4.995,4.995,4.98,4.98,4.98,0.015,0.0,0.0
0,1.97,0.0,5.9,0,2,3,439.322618,1561.677382,1000.5,1.3716,1891.665334,666.9993900000002,0.001830667,0.0,0.0
0,161.06,0.63,323.38,0,2,2,11.072192,89.927808,50.5,2.660313,98.338703,50.499508,0.000984218,0.0,0.0
0,5.95,123984.24,743941.13,0,5,2,2.802,8.58,5.843667,2.800476,8.575714999999999,5.84204,0.00975847,0.0,0.0
0,93612.1,10060.62,992074.2,0,3,1,0.0003,0.133269,0.098978,0.078168,7.838697,3.958433,0.00135,0.0,0.590492
0,5.75,8482.58,152789.92,0,7,1,0.43,15.5,5.466667,0.429384,15.499387,5.465914,0.013551552,0.0,0.0
0,5.66,16246.22,178770.6,0,11,1,0.375549,2.29385,1.018111,0.375314,2.29327,1.017056,0.01161011,0.0,0.0
0,72100.0,10243.09,1019244.7,0,4,8,0.1,306.0,131.189784,0.0,600.0,80.696,0.47027113,0.0,0.0
0,163.02,0.94,327.92,0,2,2,32.780812,68.219188,50.5,0.001982,100.997034,50.499508,0.000984218,0.0,0.0
0,162.38,0.63,326.03,0,2,2,48.19835,52.80165,50.5,0.005731,100.993285,50.499508,0.000984218,0.0,0.0
0,132551.76,47103.98,936622.48,0,3,3,0.0,5.0,2.744752,0.0,4.9,2.171335,-4.793751,0.0,0.0
0,0.0,0.0,948.73,0,1,1,1.0,1.0,1.0,0.999559,0.999559,0.999559,0.000441,0.0,0.0
0,0.0,19247.54,250218.08,1,4,0,0.0,1.000578,0.452745,0.0,0.0,0.0,5.88569015,0.0,0.150693
0,159.83,0.92,321.5,0,2,2,14.242353,86.75764699999998,50.5,2.0,98.999016,50.499508,0.000984218,0.0,0.0
0,22.05,21.34,232149.93,0,189,650,0.000572,8770.13158,3647.937469,0.001,8770.13158,3210.983135,629.1782661000002,0.0,0.0
0,6736.68,1019.6,182217.27,0,72,1,0.02,1.0,0.123734,0.359475,0.975,0.56413,0.006507092,0.0,0.027084
0,17363.42,3975.35,77404.38,0,1,3,4.995,8.995,6.995,4.994559,8.9908,7.918247,-17.682988,0.0,0.677038
0,0.0,0.0,2259.65,0,1,1,12.123629,12.123629,12.123629,12.123009,12.123009,12.123009,0.00062,0.0,0.0
0,160.19,0.15,320.68,0,2,2,36.096668,64.90333199999999,50.5,1.0,99.999016,50.499508,0.000984218,0.0,0.0
0,3.54,3346.38,6699.85,0,2,1,0.201984,1.000291,0.601137,0.201564,0.99987,0.6007170000000001,0.000840005,0.0,0.0
0,0.0,4097.93,192602.83,1,5,0,0.0,52.4624,11.885895,0.0,0.0,0.0,558.6370505,0.0,0.900874
0,152.67,0.0,305.33,0,1,2,101.0,101.0,101.0,5.0,95.998571,50.499286,0.001428506,0.0,0.0
0,0.0,0.0,20.93,0,1,1,2.39451,2.39451,2.39451,2.394006,2.394006,2.394006,0.000504,0.0,0.0
0,22.91,0.0,68.72,0,1,3,101.0,101.0,101.0,0.11005,50.841333,33.666149,0.0015539999999999,0.0,0.0
0,6.38,2935.83,205942.0,0,70,68,0.043146,14.583474,2.018109,0.042726,14.583054,2.077035,0.029244115,0.0,0.0
0,0.0,0.0,1.32,0,1,1,0.70724,0.70724,0.70724,0.7064,0.7064,0.7064,0.00084,0.0,0.0
0,162.63,0.43,326.13,0,2,2,21.595231,79.40476899999999,50.5,0.22,100.779016,50.499508,0.000984218,0.0,0.0
0,71.83,27.81,511631.95,0,333,2525,0.0,7000.0,81.983698,0.001,35000.0,214.505344,-752576.9329,0.0,0.0
0,3.59,0.0,10.78,0,2,3,521.161647,1479.838353,1000.5,4.07,1969.741783,666.999528,0.001414909,0.0,0.0
0,26.18,20470.41,81986.35,0,2,1,1.372664,9.5925,6.236932,1.36962,9.593926,6.23386,0.01228876,0.0,0.0
0,10.53,2020.11,24336.13,0,2,9,0.995,15.99543,6.710382000000001,1.445791,15.994905,8.946717,0.004129493,0.0,0.0
0,159.52,0.0,319.03,0,1,2,101.0,101.0,101.0,0.461097,100.537919,50.499508,0.000984218,0.0,0.0
0,2411.88,84822.03,365818.75,0,3,6,0.0138229999999999,1.161912,0.31883,0.0,0.8,0.112727,0.03532431,0.0,0.0
0,3827.27,1074.42,1921036.52,0,1,43,0.200004,28.010089,1.994397,3.327554,278.522983,47.960507,41.78640022,0.0,0.0
0,22.77,0.0,68.3,0,1,3,101.0,101.0,101.0,2.25,83.627637,33.666149,0.0015539999999999,0.0,0.0
0,484.97,13360.06,237790.27,0,13,21,0.006783,1.243,0.263426,0.0,1.108783,0.203076,0.01058002,0.0,0.0
0,16472.66,8727.64,915822.2,0,9,25,0.0,10.0,2.005246,0.0,6.0,0.911633,-0.918555982,0.0,0.0
0,0.0,1995.75,319320.53,1,3,0,0.0,1.6777259999999998,0.670056,0.0,0.0,0.0,107.2089593,0.0,0.0
0,1.88,0.0,5.65,0,2,3,100.470569,1900.529431,1000.5,0.024528,1488.680936,666.999528,0.001414909,0.0,0.0
0,367.75,5872.92,868228.45,1,21,78,0.25,370.892142,40.263488,0.0,340.0,4.987012,-3500.466893,0.0,0.0
0,0.0,0.0,14.38,0,1,1,1.373735,1.373735,1.373735,1.358735,1.358735,1.358735,0.015,0.0,0.0
0,5487.5,22466.36,705882.98,0,5,7,0.007318,1.458379,0.6530130000000001,0.001,4.0,0.920945,5.391128874,0.0,0.0
0,2516.11,10216.0,306025.43,0,9,11,0.001365,0.5294840000000001,0.089581,0.015849,0.54,0.201136,0.00504,0.0,0.0
0,0.0,44163.43,88326.87,1,2,0,0.0,509.0,254.5,0.0,0.0,0.0,509.0,0.0,0.0
0,0.0,0.0,253.25,0,1,1,0.3,0.3,0.3,0.29938,0.29938,0.29938,0.00062,0.0,0.0
0,163.85,0.0,327.7,0,1,2,101.0,101.0,101.0,1.389,99.610016,50.499508,0.000984218,0.0,0.0
0,0.0,0.0,5.95,0,1,1,1.466441,1.466441,1.466441,1.465969,1.465969,1.465969,0.000471636,0.0,0.0
0,1.56,0.0,4.68,0,2,3,98.62372,1902.37628,1000.5,9.999703,1542.499603,666.999528,0.001414909,0.0,0.0
0,0.0,0.0,259478.57,0,1,1,1.0,1.0,1.0,0.999559,0.999559,0.999559,0.000441,0.0,0.0
0,0.0,2762.25,209930.78,1,5,0,0.0,1.000888,0.240532,0.0,0.0,0.0,18.28040267,0.0,0.6671520000000001
0,0.0,3801.67,319340.05,1,4,0,0.0,5.008505,1.186623,0.0,0.0,0.0,99.67635547,0.0,0.0
0,161.61,0.94,325.1,0,2,2,22.149371,78.850629,50.5,1.99916,98.999856,50.499508,0.000984218,0.0,0.0
0,0.0,11594.2,208695.6,1,5,0,0.0,499.999,68.129553,0.0,0.0,0.0,1226.331962,0.0,0.0
0,7.4,1945.73,80078.27,0,1,1,0.100021,0.169153,0.108187,0.099601,0.168733,0.107767,0.01722,0.0,0.0
0,136.47,482175.49,964896.88,0,2,3,0.122249,30.0,15.061125,0.000688,29.399438,7.53027,0.00116968,0.0,0.0
0,0.0,6682.47,547962.18,1,5,0,0.0,0.715069,0.219089,0.0,0.0,0.0,17.96526264,0.0,0.0
0,0.0,12143.51,291444.33,1,3,0,0.0,1.001,0.785615,0.0,0.0,0.0,18.85476593,0.0,0.226017
0,8691.1,4980.4,32323.4,0,2,2,0.393264,5.0,2.086115,0.392822,5.8646400000000005,3.128731,0.00088263,0.0,0.0
0,0.0,2405.98,283905.73,1,5,0,0.0,1.125244,0.403462,0.0,0.0,0.0,47.60848499,0.0,0.969261
0,0.0,1346.79,192590.77,1,4,0,0.0,0.6973689999999999,0.111189,0.0,0.0,0.0,15.89998028,0.0,0.496625
0,18151.95,29228.1,273204.15,0,5,4,0.3,18.0,7.284753,0.0,35.0,5.20281,0.004094496,0.0,0.0
0,21.68,0.0,65.03,0,1,3,101.0,101.0,101.0,1.0001,97.792761,33.666149,0.0015539999999999,0.0,0.0
0,1.35,0.68,5.4,0,2,3,423.307237,1577.692763,1000.5,0.002535,1902.623515,666.999528,0.001414909,0.0,0.0
0,161.55,0.82,324.73,0,2,2,47.956947,53.043053,50.5,11.0,89.998974,50.499487,0.001026218,0.0,0.0
0,5.71,5707.63,17134.32,0,3,1,0.999559,2.999559,1.799266,1.397681,3.997868,2.697775,0.00224945,0.0,0.0
0,0.0,0.0,5.8,0,1,1,10.0,10.0,10.0,9.999528,9.999528,9.999528,0.000471636,0.0,0.0
0,0.0,0.0,39.47,0,1,1,0.225559,0.225559,0.225559,0.225055,0.225055,0.225055,0.000504,0.0,0.0
0,4.81,0.0,19.25,0,2,4,890.11919,1110.88081,1000.5,0.001078,1574.1575779999996,500.249528,0.001886545,0.0,0.0
0,103.49,0.0,310.48,0,1,3,101.0,101.0,101.0,0.008992,94.578007,33.66617100000001,0.001488218,0.0,0.0
0,160.58,0.0,321.17,0,1,2,101.0,101.0,101.0,12.795467,88.203549,50.499508,0.000984218,0.0,0.0
0,3070.03,35556.84,974378.8,0,8,25,0.005,6.0,1.277459,0.0,6.53,0.69957,-6.29650084,0.0,0.0
0,160.38,0.6,321.95,0,2,2,44.759506,56.24049399999999,50.5,0.41,100.589016,50.499508,0.000984218,0.0,0.0
0,231.96,112125.71,1010987.1,0,6,1,0.001,42.47269,5.425545,0.09508,42.471026,6.102275,0.011706884,0.0,0.0
0,6.29,0.0,18.87,0,2,3,718.318717,1282.681283,1000.5,0.116843,1475.452117,666.999528,0.001414909,0.0,0.0
0,0.0,824.57,226756.63,1,7,0,0.0,17.687756,1.30568,0.0,0.0,0.0,359.061997,0.0,0.782562
0,20437.43,47057.88,447735.1,0,2,11,0.018,0.5,0.204333,0.0,0.3025,0.120252,-1.190776506,0.0,0.0
0,0.0,0.0,2257.95,0,1,1,0.381175,0.381175,0.381175,0.380555,0.380555,0.380555,0.00062,0.0,0.0
0,6.44,76.03,412.35,0,1,1,0.5,20.0,6.9,0.4992140000000001,19.999304,6.899288,0.003559205,0.0,0.0
0,15.95,0.0,63.8,0,1,4,101.0,101.0,101.0,0.001,47.33595,25.249475,0.0021,0.0,0.0
0,0.0,0.0,96.47,0,1,1,1.116753,1.116753,1.116753,1.114553,1.114553,1.114553,0.0022,0.0,0.0
